id_bridge_genero,id_genero
183,13
333,2
619,8
414,6
183,8
333,8
414,13
619,7
619,4
414,8
333,1
183,12
117,12
268,13
221,8
268,8
43,12
207,10
221,10
43,8
43,13
268,10
117,8
117,4
207,8
302,13
161,8
302,8
583,6
583,8
19,8
583,10
19,6
489,13
489,8
,8
481,13
,12
,6
481,8
200,10
32,8
200,13
247,13
247,10
200,6
247,6
575,10
575,8
575,4
42,12
155,12
42,8
155,8
155,1
453,10
453,13
453,8
142,4
142,13
189,8
142,8
189,4
189,7
570,8
570,13
570,10
425,7
425,13
74,13
425,8
74,12
74,8
254,8
254,10
459,8
589,1
412,12
589,5
459,11
459,4
589,8
412,7
412,10
448,8
428,8
448,7
448,1
383,8
382,8
593,8
593,10
510,8
382,5
383,7
383,6
593,13
510,2
382,10
437,1
437,8
286,8
437,7
286,10
588,12
588,8
588,1
491,13
491,8
146,12
491,7
146,8
146,4
506,4
506,10
506,8
554,6
554,8
554,7
4,12
560,12
4,8
560,1
4,2
191,8
191,12
560,8
503,8
284,6
503,10
284,8
284,10
173,8
475,8
355,13
475,12
344,8
344,10
368,12
482,12
235,7
235,8
488,8
488,13
488,10
368,8
475,10
235,5
344,13
482,1
368,13
250,8
482,8
355,10
355,8
578,8
113,7
550,8
550,1
578,7
113,8
550,6
578,6
,6
580,8
66,8
33,13
,8
580,10
580,13
66,13
33,8
,10
387,8
387,13
561,10
561,8
561,1
37,13
37,8
442,8
442,10
37,2
442,6
484,8
584,10
584,8
185,8
114,8
185,7
101,8
185,1
584,13
591,13
372,10
591,8
217,8
436,10
396,6
617,8
372,13
217,13
396,8
617,10
436,13
396,10
195,7
195,8
617,12
217,1
372,8
436,8
201,8
201,12
483,6
294,5
294,8
431,10
587,10
483,8
63,13
483,12
63,8
587,12
431,8
587,8
294,14
431,13
201,13
340,10
,7
340,8
340,13
51,6
232,7
51,8
205,13
205,8
232,10
205,12
232,8
,8
504,6
609,4
609,8
402,1
504,8
402,5
504,11
609,1
402,8
540,10
540,13
540,8
,8
,10
172,7
172,4
172,8
,13
77,1
303,13
77,12
303,8
77,8
118,8
190,1
118,13
118,6
190,5
190,8
228,8
226,8
234,10
271,13
234,7
129,8
271,8
129,7
226,4
271,6
234,8
226,13
324,7
60,8
324,10
60,4
571,12
571,10
324,8
571,8
60,7
109,12
237,12
599,6
109,8
272,12
109,13
237,8
237,1
272,1
599,8
272,8
599,2
103,8
568,8
164,7
466,8
466,7
568,10
,8
164,13
568,13
164,8
103,4
466,2
450,8
249,8
450,13
249,7
415,10
415,13
415,8
147,8
586,8
147,4
586,1
586,2
595,1
595,8
595,7
147,7
297,2
297,8
297,12
307,10
307,13
307,8
535,10
128,8
556,8
556,10
535,8
556,1
535,5
128,13
,8
222,8
223,7
,8
,10
98,10
,6
,13
222,10
98,5
223,4
98,13
223,8
222,12
,8
329,13
329,10
,8
153,8
329,8
,13
153,4
83,8
83,4
83,13
229,8
124,8
304,13
124,1
304,12
304,8
138,7
124,5
,7
229,13
229,10
138,8
,8
,13
479,5
624,4
624,10
5,6
479,1
624,8
5,12
479,8
5,8
,8
218,14
,12
218,8
501,8
218,2
528,8
528,7
446,5
528,6
446,8
501,2
501,1
,13
446,10
233,13
298,6
547,7
233,8
463,13
298,8
322,6
547,6
322,13
178,8
193,8
193,10
298,13
233,10
547,8
178,11
463,8
322,8
178,6
523,10
358,13
111,8
353,8
381,1
381,5
353,13
523,12
52,4
358,10
381,8
52,8
358,6
523,8
53,6
505,8
53,8
505,6
505,13
597,13
597,8
517,12
100,12
517,8
517,1
100,8
100,4
386,13
386,8
386,10
314,8
314,10
,6
392,8
539,8
,12
266,4
266,6
,8
296,6
296,8
392,13
539,4
266,8
296,10
349,4
349,8
,12
577,13
577,8
,8
577,12
349,7
393,8
393,13
64,8
393,12
548,6
548,5
548,8
81,8
529,10
531,10
529,13
79,7
531,8
531,13
79,4
79,8
529,8
206,8
206,12
607,10
253,10
607,6
607,8
253,8
253,6
206,10
625,6
625,10
538,8
342,7
342,8
538,13
342,4
625,8
,8
538,10
,4
525,12
525,1
525,8
263,13
44,10
263,8
44,8
411,5
291,13
291,8
411,6
411,8
291,4
335,8
468,8
335,2
468,10
261,8
335,6
468,6
9,13
455,8
9,8
455,1
455,4
610,8
610,1
9,12
598,10
598,6
262,6
262,12
598,8
262,8
502,13
11,12
92,8
467,12
502,8
502,12
11,8
154,8
332,6
92,4
467,8
92,1
154,7
467,6
11,6
332,7
332,10
417,12
152,7
152,4
106,4
240,13
417,8
152,8
240,10
91,8
61,8
530,8
530,13
240,8
347,8
106,8
370,10
553,13
136,13
139,13
370,13
553,5
553,8
136,8
370,5
139,8
139,7
95,12
364,8
,8
158,8
158,13
67,8
516,4
352,8
516,8
516,7
352,13
95,8
364,13
364,6
352,10
67,13
,13
86,8
245,10
116,8
245,8
86,7
116,13
245,13
127,8
127,1
567,10
567,8
127,7
,8
348,8
181,13
181,8
125,8
125,6
,10
125,12
348,1
348,2
,6
572,8
337,8
627,13
337,5
572,6
627,8
572,10
627,4
555,13
337,10
555,8
292,8
613,8
252,7
252,6
252,10
613,10
292,2
292,1
542,13
542,10
542,8
87,8
87,1
87,10
160,7
465,8
336,8
378,6
336,6
160,8
465,13
378,8
160,4
336,13
378,10
419,8
419,10
,7
339,10
,8
,6
339,8
143,8
143,13
477,10
177,8
177,7
299,10
299,8
398,10
135,6
135,8
398,4
398,8
388,13
388,8
135,12
177,10
477,8
140,4
408,8
140,8
558,7
,8
558,8
558,10
408,13
140,13
71,5
71,8
121,8
71,10
121,13
14,8
22,8
13,13
13,8
300,8
213,10
22,13
293,10
22,10
300,6
293,13
213,13
14,10
213,8
13,6
14,13
293,8
300,9
365,10
552,1
365,8
316,10
552,8
316,8
283,8
365,13
449,3
283,2
283,6
552,12
449,7
449,8
316,13
216,8
216,1
618,10
216,12
618,13
40,8
25,4
397,10
397,8
25,8
25,9
397,12
241,12
241,8
241,5
391,13
391,8
391,2
490,13
490,8
338,1
338,8
338,6
208,8
208,1
208,6
590,8
469,12
122,8
122,13
590,12
590,6
469,8
469,2
456,13
518,8
30,10
608,8
608,4
608,13
242,7
242,1
456,8
30,8
518,10
242,8
518,13
441,6
441,8
238,8
403,13
403,10
441,12
403,8
238,6
460,13
460,8
373,9
350,7
460,10
15,12
24,8
,8
373,8
350,6
350,8
373,12
15,8
,6
12,6
310,1
582,1
582,8
12,8
301,6
102,13
301,10
102,8
334,8
310,4
102,10
176,4
310,8
301,5
62,13
62,8
334,4
176,8
582,12
176,7
486,8
239,8
486,13
239,13
169,8
169,4
214,8
279,7
480,10
480,13
,5
285,10
214,13
285,8
279,8
480,8
279,1
401,4
317,13
,6
317,8
,8
401,8
317,2
29,7
565,13
565,8
29,8
354,8
354,13
565,10
354,5
282,8
282,1
,8
227,12
227,6
99,4
605,1
99,8
605,4
282,2
99,1
605,8
227,8
395,1
395,2
395,8
,8
,4
,12
409,10
409,8
270,8
546,8
72,8
546,13
290,8
270,13
290,13
546,10
290,10
576,6
549,7
576,7
427,8
515,10
576,8
407,6
407,8
427,10
549,8
515,8
407,10
259,7
259,4
549,6
259,8
515,6
55,13
418,8
418,6
97,4
500,10
55,10
500,8
97,9
500,6
97,8
418,7
55,8
305,12
38,8
,8
57,8
38,4
305,1
38,12
305,8
255,8
107,7
255,10
420,10
107,8
255,6
420,13
420,8
494,4
494,8
594,8
622,8
594,12
622,7
622,10
594,1
231,6
231,10
90,12
280,4
231,8
,8
45,6
243,6
45,10
90,8
,13
243,7
,10
90,4
45,5
280,8
243,8
144,10
464,7
192,6
464,8
,8
,10
464,1
,12
192,8
192,11
144,8
