id_filme,id_titulo,tempo_minutos,popularidade,orcamento,receita,media_votos,total_votos,id_tempo,id_bridge_genero
tt0021814,1,75,28.537,355000,700000,7.157,1216,1,1
tt0021884,2,70,25.396,291000,12000000,7.465,1590,2,2
tt0024184,3,71,18.72,328000,27105,7.5,852,4,3
tt0024216,4,100,28.012,672000,10000000,7.596,1483,3,4
tt0026138,5,75,21.098,393750,2000000,7.502,982,5,5
tt0034587,6,73,11.127,134000,4000000,6.9,593,6,6
tt0045888,7,88,14.859,1000000,23750319,6.9,335,7,7
tt0049366,8,80,13.926,417000,3000000,7.472,1079,8,8
tt0050280,9,82,12.909,270000,8000000,6.762,300,9,9
tt0051418,10,86,13.418,110000,4000000,6.2,606,11,10
tt0051622,11,94,13.977,700000,3000000,6.995,542,10,11
tt0053925,12,79,7.966,270000,1450000,6.622,319,15,12
tt0054167,13,101,15.69,150000,83957,7.4,801,12,13
tt0054215,14,109,45.835,806947,32000000,8.4,10151,14,14
tt0054443,15,77,14.473,200000,2175000,7.18,437,13,15
tt0055304,16,80,8.853,200000,2000000,6.9,333,16,16
tt0056869,17,119,25.503,2500000,11500000,7.524,4104,17,17
tt0063350,18,96,30.865,114000,30000000,7.6,2472,19,18
tt0063522,19,137,38.321,3200000,33395426,7.8,3959,18,19
tt0070047,20,122,80.875,12000000,441306145,7.7,8012,22,20
tt0070698,21,93,11.552,500000,1000000,6.7,395,20,21
tt0070917,22,88,21.46,810000,513000,7.3,1419,21,22
tt0071222,23,98,17.492,686000,4000000,6.925,824,23,23
tt0072271,24,83,43.463,140000,30900000,7.3,3361,23,24
tt0073629,25,100,21.492,1400000,170000000,7.5,2824,25,25
tt0073705,26,87,11.283,179000,1000000,6.4,651,26,26
tt0073747,27,115,13.636,500000,8700000,6.688,316,24,27
tt0074285,28,98,34.234,1800000,33800000,7.3,3882,28,28
tt0074486,29,89,47.064,100000,7000000,7.4,2435,30,29
tt0075005,30,111,25.301,2800000,60922980,7.4,2144,27,30
tt0076504,31,92,14.44,17500000,14717854,6.1,405,29,31
tt0077394,32,107,18.066,6800000,26518355,6.4,728,32,32
tt0077402,33,127,35.541,650000,55000000,7.5,2085,35,33
tt0077588,34,118,12.992,5500000,24000000,6.3,360,31,34
tt0077651,35,91,52.907,325000,70260597,7.6,5655,36,35
tt0077681,36,90,18.757,350000,25000000,6.2,894,29,36
tt0077766,37,116,25.966,20000000,187884000,6.0,1920,33,37
tt0078087,38,94,23.49,660000,16000000,5.953,670,34,38
tt0078748,39,117,131.182,11000000,104931801,8.159,14940,38,39
tt0078767,40,117,21.627,4700000,86432000,6.3,922,39,40
tt0078908,41,92,9.96,1355000,5000000,6.7,708,38,41
tt0079714,42,89,12.837,300000,11988469,6.5,693,37,42
tt0080360,43,102,11.156,15000000,19853892,6.7,665,47,43
tt0080516,44,107,20.9,7600000,12000000,6.987,630,41,44
tt0080661,45,104,20.791,6500000,31899000,6.952,966,46,45
tt0080749,46,89,26.565,1000000,21448830,6.7,1565,40,46
tt0080761,47,95,46.451,550000,59754601,6.407,2973,42,47
tt0081114,48,87,10.876,350000,10000000,6.443,442,43,48
tt0081383,49,92,15.797,1500000,14796236,5.7,433,45,49
tt0081455,50,103,13.922,4100000,14225876,6.7,1204,48,50
tt0081505,51,146,98.784,19000000,44781695,8.2,17619,44,51
tt0082010,52,97,46.627,10000000,31973249,7.4,2443,53,52
tt0082334,53,125,16.523,9000000,13277558,6.664,485,61,53
tt0082377,54,108,18.087,5000000,20471382,5.8,574,51,54
tt0082418,55,87,32.173,1250000,21722776,6.2,1691,52,55
tt0082495,56,92,22.236,2500000,25533818,6.568,2039,55,56
tt0082533,57,91,19.533,1000000,17985893,6.6,778,49,57
tt0082782,58,90,13.922,2200000,5672031,6.452,481,50,58
tt0083550,59,104,16.807,5000000,12534817,5.665,349,60,59
tt0083767,60,120,17.856,8000000,21028755,6.9,1040,63,60
tt0083907,61,85,45.067,350000,29612367,7.3,4024,54,61
tt0083972,62,95,28.709,2200000,36690067,5.868,1415,58,62
tt0084516,63,114,29.354,10700000,122200000,7.1,3026,56,63
tt0084695,64,77,11.767,220000,3600000,5.5,341,59,64
tt0084787,65,109,60.046,15000000,19629760,8.1,7079,57,65
tt0085333,66,110,19.754,9700000,21200000,6.9,1992,71,66
tt0085382,67,93,25.389,5000000,21200000,6.1,1018,68,67
tt0085407,68,103,14.747,10000000,20766616,7.02,1639,69,68
tt0085636,69,98,17.425,2500000,14400000,5.211,1388,62,69
tt0085701,70,97,13.818,10000000,10200000,6.673,578,65,70
tt0086154,71,113,16.67,5000000,34725000,6.5,645,66,71
tt0086320,72,84,15.82,350000,11000000,6.3,694,70,72
tt0086491,73,101,19.016,10000000,29450920,6.5,723,67,73
tt0086541,74,87,19.302,5952000,2120439,7.3,2221,64,74
tt0087050,75,92,18.419,800000,14568989,5.7,1003,72,75
tt0087075,76,95,14.041,2000000,4389334,6.3,340,77,76
tt0087262,77,114,13.654,15000000,17080167,6.3,694,74,77
tt0087298,78,91,25.724,2200000,32981717,6.1,1332,73,78
tt0087363,79,106,44.665,11000000,153083102,7.122,6411,76,79
tt0087799,80,95,12.969,3000000,14418922,6.207,381,80,80
tt0087800,81,91,58.776,1800000,57004513,7.341,5172,78,81
tt0088117,82,79,10.639,1065000,2491460,5.9,378,79,82
tt0088889,83,94,14.912,7000000,13100000,6.725,655,82,83
tt0088993,84,101,16.289,3500000,34000000,7.049,1241,85,84
tt0089173,85,92,24.816,2200000,21930418,5.264,1157,81,85
tt0089175,86,106,25.458,9000000,24922237,7.039,1387,86,86
tt0089489,87,101,39.06,25000000,11603545,6.3,623,84,87
tt0089686,88,87,34.687,3000000,29999213,5.778,1890,89,88
tt0089885,89,84,18.246,900000,2023414,7.045,1492,88,89
tt0089907,90,91,36.174,4000000,14241310,7.171,2079,83,90
tt0090021,91,95,18.972,7000000,12400000,6.6,607,87,91
tt0090190,92,82,13.294,500000,800000,6.3,556,75,92
tt0090887,93,86,21.101,2000000,13167232,6.484,989,92,93
tt0091080,94,86,26.631,3000000,19472525,6.233,1190,95,94
tt0091083,95,85,17.129,4500000,1261000,6.506,564,99,95
tt0091223,96,93,17.867,3000000,19444631,6.2,570,90,96
tt0091419,97,94,21.597,25000000,38800000,6.9,1457,100,97
tt0091474,98,120,0.769,150000000,8620929,7.011,1361,96,98
tt0091499,99,98,17.667,10000000,7400000,5.84,753,94,99
tt0091630,100,88,12.969,5000000,591366,6.7,502,97,100
tt0091778,101,91,15.513,19000000,40996665,5.982,683,93,101
tt0091799,102,93,13.055,8400000,14481606,5.6,384,91,102
tt0092076,103,101,32.19,4500000,8000000,5.6,885,98,103
tt0092563,104,113,21.688,17000000,17185954,7.1,1543,102,104
tt0092796,105,92,14.077,3500000,14000000,6.3,587,105,105
tt0092991,106,84,35.314,3500000,10900000,7.546,3145,103,106
tt0093075,107,85,12.911,2500000,13539458,6.025,378,104,107
tt0093177,108,94,33.905,1000000,14575193,6.885,2577,108,108
tt0093185,109,97,18.862,5000000,9747988,6.9,420,111,109
tt0093437,110,97,27.581,8500000,32222567,7.075,2059,107,110
tt0093605,111,94,19.418,5000000,3400000,6.9,758,109,111
tt0093624,112,90,14.161,1200000,3109904,6.2,343,124,112
tt0093629,113,96,12.371,4450000,44793222,6.67,1803,101,113
tt0093777,114,102,14.051,3000000,14182492,6.8,1020,110,114
tt0094332,115,118,26.041,22000000,63766510,6.542,1408,106,115
tt0094862,116,87,38.66,9000000,44196684,6.722,3005,126,116
tt0094919,117,86,15.259,4500000,3813293,6.256,457,114,117
tt0094964,118,116,14.079,13000000,8038508,7.1,895,122,118
